SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
KPIL,1192.2,1195.3,1175.5,1176.2,22970
INOXINDIA,1139.7,1139.7,1121.3,1122.1,6099
POWERGRID,268.5,268.95,264.25,264.4,4315446
NLCINDIA,274.0,276.9,269.1,269.85,1038640
JYOTHYLAB,280.5,282.7,277.0,277.2,130856
GRAVITA,1825.4,1834.0,1788.7,1791.9,88579
POLICYBZR,1740.0,1748.9,1708.6,1716.3,514745
TECHNOE,1079.3,1079.3,1058.0,1062.2,51339
KARURVYSYA,276.0,276.2,270.5,270.55,368174
MARUTI,17230.0,17249.0,17010.0,17013.0,95498
CUB,294.0,294.2,285.05,290.0,750474
CREDITACC,1339.5,1369.0,1297.2,1305.8,474365
SIGNATURE,1121.0,1122.7,1102.0,1102.4,150088
CANFINHOME,949.0,949.0,932.5,934.05,40823
ONESOURCE,1785.5,1789.2,1766.3,1768.2,21465
JUBLFOOD,547.8,556.15,536.0,537.3,2033661
MGL,1081.4,1090.0,1055.4,1056.4,275851
HINDZINC,649.1,650.75,632.2,632.2,5432927
PREMIERENE,767.75,768.9,746.3,749.2,1422195
CARBORUNIV,840.0,840.15,819.6,823.35,116525
HOMEFIRST,1074.3,1074.3,1052.0,1052.0,139228
IGL,191.0,191.42,187.0,187.09,673033
SJVN,84.29,84.38,82.2,82.87,4548454
LTF,319.0,319.0,311.65,313.65,2802567
TITAGARH,860.0,871.9,843.9,844.1,427309
TORNTPOWER,1401.8,1411.9,1382.3,1383.9,76061
KEC,726.0,729.05,713.7,714.65,164801
DLF,705.0,706.0,693.0,693.35,1443169
SUMICHEM,473.2,473.2,462.35,464.65,80973
MAXHEALTH,1049.0,1049.9,1022.0,1032.0,1817121
KPRMILL,908.0,914.7,892.1,892.1,64769
GSPL,318.0,318.5,312.0,313.2,129690
ITCHOTELS,200.0,200.0,196.0,196.17,684592
INDUSINDBK,914.5,924.7,895.0,896.5,1699906
TRITURBINE,535.3,537.05,526.1,528.2,122582
AIAENG,4093.8,4093.8,3969.1,3989.5,22628
ZENTEC,1348.0,1348.0,1321.0,1322.9,215728
DBREALTY,119.5,119.75,117.26,117.38,454235
AIIL,3149.4,3149.9,3076.5,3084.6,26163
ESCORTS,3935.0,3939.5,3828.1,3867.0,44828
LALPATHLAB,1480.0,1505.0,1446.3,1448.5,257924
CRAFTSMAN,7978.0,8001.0,7780.0,7852.0,19011
CHOLAHLDNG,1925.8,1925.9,1870.3,1885.2,45126
HINDCOPPER,574.8,575.0,548.0,553.25,26807277
TBOTEK,1618.1,1618.1,1571.1,1581.2,47758
IIFL,665.05,665.5,649.5,650.25,943091
GUJGASLTD,437.75,437.75,427.05,427.75,123585
SOBHA,1550.1,1558.3,1512.5,1513.0,99169
TMPV,367.05,367.25,359.2,360.0,6338055
OIL,423.7,423.7,413.35,415.0,719270
